location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
8415,"Dhaka","o3",0.052,"ppm","2023-11-28T17:00:00Z","2023-11-28T23:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.041,"ppm","2023-11-28T18:00:00Z","2023-11-29T00:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.032,"ppm","2023-11-28T19:00:00Z","2023-11-29T01:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.026,"ppm","2023-11-28T20:00:00Z","2023-11-29T02:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.015,"ppm","2023-11-28T21:00:00Z","2023-11-29T03:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-28T22:00:00Z","2023-11-29T04:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-28T23:00:00Z","2023-11-29T05:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-29T00:00:00Z","2023-11-29T06:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.004,"ppm","2023-11-29T01:00:00Z","2023-11-29T07:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-29T02:00:00Z","2023-11-29T08:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-29T03:00:00Z","2023-11-29T09:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-29T04:00:00Z","2023-11-29T10:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-11-29T05:00:00Z","2023-11-29T11:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-11-29T06:00:00Z","2023-11-29T12:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-11-29T07:00:00Z","2023-11-29T13:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-29T08:00:00Z","2023-11-29T14:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-29T09:00:00Z","2023-11-29T15:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.005,"ppm","2023-11-29T10:00:00Z","2023-11-29T16:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.011,"ppm","2023-11-29T11:00:00Z","2023-11-29T17:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.018,"ppm","2023-11-29T12:00:00Z","2023-11-29T18:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.029,"ppm","2023-11-29T13:00:00Z","2023-11-29T19:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.031,"ppm","2023-11-29T14:00:00Z","2023-11-29T20:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.046,"ppm","2023-11-29T15:00:00Z","2023-11-29T21:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",-0.999,"ppm","2023-11-29T16:00:00Z","2023-11-29T22:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.043,"ppm","2023-11-29T17:00:00Z","2023-11-29T23:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.037,"ppm","2023-11-29T18:00:00Z","2023-11-30T00:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.026,"ppm","2023-11-29T19:00:00Z","2023-11-30T01:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.015,"ppm","2023-11-29T20:00:00Z","2023-11-30T02:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.014,"ppm","2023-11-29T21:00:00Z","2023-11-30T03:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.011,"ppm","2023-11-29T22:00:00Z","2023-11-30T04:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.004,"ppm","2023-11-29T23:00:00Z","2023-11-30T05:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-30T00:00:00Z","2023-11-30T06:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T01:00:00Z","2023-11-30T07:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T02:00:00Z","2023-11-30T08:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-30T03:00:00Z","2023-11-30T09:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-30T04:00:00Z","2023-11-30T10:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-30T05:00:00Z","2023-11-30T11:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T06:00:00Z","2023-11-30T12:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T07:00:00Z","2023-11-30T13:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T08:00:00Z","2023-11-30T14:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T09:00:00Z","2023-11-30T15:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T10:00:00Z","2023-11-30T16:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.005,"ppm","2023-11-30T11:00:00Z","2023-11-30T17:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.006,"ppm","2023-11-30T12:00:00Z","2023-11-30T18:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.006,"ppm","2023-11-30T13:00:00Z","2023-11-30T19:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.007,"ppm","2023-11-30T14:00:00Z","2023-11-30T20:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.007,"ppm","2023-11-30T15:00:00Z","2023-11-30T21:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",-0.999,"ppm","2023-11-30T16:00:00Z","2023-11-30T22:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.006,"ppm","2023-11-30T17:00:00Z","2023-11-30T23:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.006,"ppm","2023-11-30T18:00:00Z","2023-12-01T00:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.004,"ppm","2023-11-30T19:00:00Z","2023-12-01T01:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.003,"ppm","2023-11-30T20:00:00Z","2023-12-01T02:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.002,"ppm","2023-11-30T21:00:00Z","2023-12-01T03:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-11-30T22:00:00Z","2023-12-01T04:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-11-30T23:00:00Z","2023-12-01T05:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-12-01T00:00:00Z","2023-12-01T06:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-12-01T01:00:00Z","2023-12-01T07:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-12-01T02:00:00Z","2023-12-01T08:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-12-01T03:00:00Z","2023-12-01T09:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-12-01T04:00:00Z","2023-12-01T10:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-12-01T05:00:00Z","2023-12-01T11:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
8415,"Dhaka","o3",0.001,"ppm","2023-12-01T06:00:00Z","2023-12-01T12:00:00+06:00","Asia/Dhaka",23.796374,90.424614,,,,"Unknown Governmental Organization","AirNow"
